OrgGroupCodeDesc,ContractNumber1,CentralNameLname1,CentralNameFname,ContractTitle1,CurrentContractStartDate,CurrentContractEndDate,CurrentContractAmount
"6010-DSS Admin DSS,DSS Administration",2017-00000033,Central Name,Central Name 2,Interdepartmental Services,1900-01-01 00:00:00,1900-01-01 00:00:00,0.0000
"6010-DSS Services DSS,DSS Services",2020-00000586,Central Name,Central Name 2,Abandoned - Error,1965-01-01 00:00:00,2023-06-30 00:00:00,
"4010-Patient Serv Health,Patient Services",1980-00000006,Central Name,Central Name 2,Laboratory Corp - Clinical Laboratory Services,1980-01-01 00:00:00,2020-02-28 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",B14-037B,Central Name,Central Name 2,ATLANTIC TACTICAL LAW ENFORCEMENT UNIFORMS,1980-01-01 00:00:00,2015-12-31 00:00:00,0.8935
"1420-Central Svc County Attorney,Central Services",1980-00000220,Central Name,Central Name 2,NYS DEC - Easement to Facilitate Belleayre Mt Sewer Connection,1980-01-01 00:00:00,2025-08-17 00:00:00,0.0000
"1010-ARP Legislature,ARP",1980-00000233,Central Name,Central Name 2,CANCELLED REVENUE: NYS Dormitory - UCCC 2000 Project Master Plan,1980-01-01 00:00:00,2025-05-02 00:00:00,3000000.0000
"1680-OBS Information Services,Office of Business Services",1981-00000360,Central Name,Central Name 2,GeoComm - GeoLynx Server Software Maintenance and Support,1980-01-01 00:00:00,2016-08-31 00:00:00,21400.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",1980-00000276,Central Name,Central Name 2,Q15-075 B SWEATSHIRTS ABC CUSTOM SALES,1980-01-01 00:00:00,2016-12-31 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",1980-00000305,Central Name,Central Name 2,CALLANAN INDUSTRIES - ROAD MATERIALS,1980-01-01 00:00:00,2017-03-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",1980-00000331,Central Name,Central Name 2,CANCELLED REVENUE: New Paltz -Tax Collection System Maintenance ,1980-01-01 00:00:00,2049-12-31 00:00:00,0.0000
"4010-Health Adm Health,Health Administration",1980-00000358,Central Name,Central Name 2,SUNY Ulster - Clinical Placement of Nursing Students,1980-01-01 00:00:00,2016-09-30 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",1980-00000332,Central Name,Central Name 2,POOL & WATER TREATMENT CHEMICALS,1980-04-01 00:00:00,1981-03-31 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",1980-00000333,Central Name,Central Name 2,POOL & WATER TREATMENT CHEMICALS,1980-04-01 00:00:00,1981-03-31 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",Q16-018,Central Name,Central Name 2,TEST,1980-04-20 00:00:00,1981-04-20 00:00:00,0.0000
"6010-DSS Services DSS,DSS Services",2019-00000653,Central Name,Central Name 2,Canceled,1988-01-01 00:00:00,1988-01-01 00:00:00,0.0000
"3140-STOP DWI Probation,STOP DWI",1990-00000017,Central Name,Central Name 2,New Paltz Town - Stop DWI Task Force,1990-01-01 00:00:00,2014-12-31 00:00:00,14000.0000
"6010-DSS Services DSS,DSS Services",1990-00000032,Central Name,Central Name 2,UC OFA - Expanded In-Home Services for the Elderly (EISEP),1990-01-01 00:00:00,2016-12-31 00:00:00,0.0000
"1420-Central Svc County Attorney,Central Services",C94-00178,Central Name,Central Name 2,REVENUE: UCIDA - Lease of County Railroad Property,1991-06-01 00:00:00,2016-05-31 00:00:00,0.0000
"1420-Central Svc County Attorney,Central Services",C92-00644,Central Name,Central Name 2,UC Resourse Recovery - Solid Waste Service Agreement,1992-01-01 00:00:00,2025-03-31 00:00:00,0.0000
"3020-Insurance Emergency Management / E911,Insurance",C93-00001 (no #),Central Name,Central Name 2,REVENUE: Verizon Wireless - Lease Sam's Point Tower Equipment,1993-10-14 00:00:00,2014-05-31 00:00:00,105000.0000
"1680-OBS Information Services,Office of Business Services",C94-00367,Central Name,Central Name 2,911 System Computer Aided Dispatch ,1993-11-08 00:00:00,2025-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C00-00189,Central Name,Central Name 2,Kingston City Police Dept - 911 System Computer Aided Dispatch,1993-11-08 00:00:00,2025-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C94-00336,Central Name,Central Name 2,Computer Aided Dispatch with E911 System,1993-11-10 00:00:00,2025-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C94-00336A,Central Name,Central Name 2,911 System Computer Aided Dispatch ,1993-11-10 00:00:00,2025-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C00-00190,Central Name,Central Name 2,Kingston City Fire Dept - 911 System Computer Aided Dispatch,1993-11-10 00:00:00,2025-12-31 00:00:00,0.0000
"3020-Insurance Emergency Management / E911,Insurance",C00-00186,Central Name,Central Name 2,Kingston - 911 Service Responsibilities ,1993-12-20 00:00:00,2025-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C00-00191,Central Name,Central Name 2,911 System Computer Aided Dispatch - Woodstock,1994-06-14 00:00:00,2025-12-31 00:00:00,0.0000
"3020-Insurance Emergency Management / E911,Insurance",C96-00355,Central Name,Central Name 2,Palisades - Lease of Space on Ice Caves Mtn/Sam's Point Tower,1994-08-15 00:00:00,2021-08-14 00:00:00,0.0001
"3020-Insurance Emergency Management / E911,Insurance",1996-00000001,Central Name,Central Name 2,REVENUE:  T-Mobile USA - Tower Lease,1996-12-18 00:00:00,2021-10-31 00:00:00,0.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C97-00366,Central Name,Central Name 2,Verizon - Easement to Facilitate Push-Brace Pole Plainfield St,1997-07-01 00:00:00,2099-12-31 00:00:00,1.0000
"1680-OBS Information Services,Office of Business Services",C98-00363,Central Name,Central Name 2,REVENUE: Rondout Valley - Tax Collection System Maintenance ,1998-06-30 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C98-00376,Central Name,Central Name 2,REVENUE: Wallkill Central - Tax Collection System Maintenance ,1998-07-01 00:00:00,2049-12-31 00:00:00,0.0000
"3410-STOP DWI Fire Fighting,STOP DWI",C98-00333,Central Name,Central Name 2,Orange County - Safe Home Project Trailer Agreement,1998-07-08 00:00:00,2018-07-07 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C98-00399,Central Name,Central Name 2,REVENUE: Saugerties Central - Tax Collection System Maintenance ,1998-07-15 00:00:00,2049-12-31 00:00:00,0.0000
"1345-RPTSA Purchasing,Real Property Tax Service Agency",1999-00000006,Central Name,Central Name 2,Road Materials - Tilcon ,1999-01-01 00:00:00,2015-03-31 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",2019-00000380,Central Name,Central Name 2,Canceled,1999-01-01 00:00:00,1999-01-01 00:00:00,0.0000
"6010-DSS Services DSS,DSS Services",2020-00000264,Central Name,Central Name 2,Deleted,1999-01-01 00:00:00,1999-01-01 00:00:00,75000.0000
"6010-DSS Services DSS,DSS Services",2021-00000569,Central Name,Central Name 2,delete - error,1999-01-01 00:00:00,1999-01-01 00:00:00,78010.0000
"1420-Central Svc County Attorney,Central Services",C99-00433,Central Name,Central Name 2,NYS DEC - Easement to Facilitate Belleayre Mtn Sewer Connection,1999-08-18 00:00:00,2025-08-17 00:00:00,0.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C99-00539,Central Name,Central Name 2,REVENUE: NYS DOT - Tongore Bridge Replacement PIN #8757.13,1999-11-01 00:00:00,2022-12-30 00:00:00,368600.0000
"1490-DPW Adm DPW,DPW Administration",C99-00540,Central Name,Central Name 2,REVENUE: NYS DOT - Mud Tavern Bridge Replacement PIN #8756.66,2000-02-03 00:00:00,2017-12-30 00:00:00,1439183.0000
"1010-ARP Legislature,ARP",C00-00372,Central Name,Central Name 2,REVENUE: DASNY - UCCC 2000 Project Master Plan,2000-05-03 00:00:00,2025-05-02 00:00:00,3000000.0000
"1420-Central Svc County Attorney,Central Services",C00-00395,Central Name,Central Name 2,NYS DEC - Belleayre Sewer Project Easement,2000-06-28 00:00:00,2049-06-27 00:00:00,1.0000
"1420-Central Svc County Attorney,Central Services",C02-00015,Central Name,Central Name 2,REVENUE: DASNY - UCCC 2001/2002 Project Master Plan,2000-10-25 00:00:00,2049-12-31 00:00:00,5000000.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C02-00367,Central Name,Central Name 2,REVENUE: NYS DOT - Sawkill School Bridge T/Ulster PIN #8756.20,2001-08-07 00:00:00,2019-12-30 00:00:00,3995150.0000
"1420-Central Svc County Attorney,Central Services",C01-00466,Central Name,Central Name 2,Gardiner - Abandonment of Portion of County Rd#79-Albany Post Rd,2001-09-01 00:00:00,2049-09-01 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",2001-00000001,Central Name,Central Name 2,delete,2001-09-01 00:00:00,2001-09-01 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",2018-00000549,Central Name,Central Name 2,delete,2001-09-01 00:00:00,2001-09-01 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C01-00539,Central Name,Central Name 2,Lightower fka HV Datanet - Broadband svcs,2001-11-05 00:00:00,2016-07-04 00:00:00,4249097.5800
"1010-ARP Legislature,ARP",C01-00573,Central Name,Central Name 2,UCEDA - Start-up Funds to Promote Industrial Development ,2001-11-28 00:00:00,2049-11-27 00:00:00,1000000.0000
"5630-ARP UCAT,ARP",C02-00171,Central Name,Central Name 2,Kingston - Reallocate FTA Grant to UC for Bus Garage Project ,2002-03-26 00:00:00,2049-12-31 00:00:00,0.0000
"3020-Insurance Emergency Management / E911,Insurance",C02-00239,Central Name,Central Name 2,Tonche - Lease of Space on Tonche Mtn Operate & Maintain Tower ,2002-04-01 00:00:00,2042-03-31 00:00:00,101980.9201
"3020-Insurance Emergency Management / E911,Insurance",C02-00239A,Central Name,Central Name 2,Tonche - Lease of Space on Tonche Mtn Operate & Maintain Tower ,2002-04-01 00:00:00,2042-03-31 00:00:00,266579.6002
"3020-Insurance Emergency Management / E911,Insurance",C02-00198,Central Name,Central Name 2,Wallace - Lease Space for Communication Tower at Tonche Mountain,2002-04-01 00:00:00,2022-03-31 00:00:00,253113.6600
"1420-Central Svc County Attorney,Central Services",C02-00365,Central Name,Central Name 2,Adirondack - Transfer Crossing Agreement Rights to St. Clara's,2002-05-17 00:00:00,2034-02-11 00:00:00,1.0000
"1420-Central Svc County Attorney,Central Services",C02-00461,Central Name,Central Name 2,Ulster - Acquire Sottile Blvd & Miron Lane,2002-07-26 00:00:00,2049-06-30 00:00:00,0.0000
"1010-ARP Legislature,ARP",C02-00526,Central Name,Central Name 2,US HUD - Section 108 Loan Guarantee Program #B-96-DH-36-0124,2002-09-01 00:00:00,2021-09-01 00:00:00,1025000.0000
"1680-OBS Information Services,Office of Business Services",C03-00180,Central Name,Central Name 2,REVENUE: Esopus - Tax Collection System Maintenance  ,2003-03-04 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00179,Central Name,Central Name 2,REVENUE: Marlborough - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00181,Central Name,Central Name 2,REVENUE: Wawarsing - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00191,Central Name,Central Name 2,REVENUE: Marbletown - Tax Collection System Maintenance,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00193,Central Name,Central Name 2,REVENUE: Olive - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00194,Central Name,Central Name 2,REVENUE: Shandaken - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00195,Central Name,Central Name 2,REVENUE: Shawangunk - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00196,Central Name,Central Name 2,REVENUE: Ellenville - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00218,Central Name,Central Name 2,REVENUE: Plattekill - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00219,Central Name,Central Name 2,REVENUE: Hurley - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00223,Central Name,Central Name 2,REVENUE: Gardiner - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00243,Central Name,Central Name 2,"REVENUE: Kingston, Town - Tax Collection System Maintenance ",2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00256,Central Name,Central Name 2,REVENUE: New Paltz - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00257,Central Name,Central Name 2,REVENUE: Rochester - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00258,Central Name,Central Name 2,REVENUE: Saugerties - Tax Collection System Maintenance,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00259,Central Name,Central Name 2,REVENUE: Woodstock - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00270,Central Name,Central Name 2,REVENUE: Lloyd - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00242,Central Name,Central Name 2,REVENUE: Saugerties - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
