OrgGroupCodeDesc,ContractNumber1,CentralNameLname1,CentralNameFname,ContractTitle1,CurrentContractStartDate,CurrentContractEndDate,CurrentContractAmount
5630-UCAT,2022-00000063,Federal Transit Administration (FTA),,REVENUE: FTA - NY-2021-068 BUS PURCHASES 5311 FUNDS,01/01/2022,01/02/2022,$1272074.0000
6410-Tourism,2022-00000082,Nicholas & Lence Communications LLC,,"Nicholas & Lence Communications, LLC - PR & Media Services",01/01/2022,10/31/2022,$40000.0000
6410-Tourism,2022-00000093,Flint Media Inc,,2022 Travel Guide Design Services,01/03/2022,06/30/2022,$37775.0000
6290-Office of Employment & Training,2022-00000128,Rowan Woodwork LLC,,Rowan Woodwork - On-the-Job Training - Cabinetmaker Apprentice,01/10/2022,07/08/2022,$6675.0000
1430-Personnel,2022-00000138,Jefferson,Wazir,"Wazir S. Jefferson, Ed.D. - Diversity Training",01/15/2022,06/15/2022,$45000.3000
6290-Office of Employment & Training,2022-00000157,New York State Solar Farm Inc,,NYS Solar Farm_-_On the Job Training:_-_Site Evaluator,01/31/2022,03/11/2022,$2402.1000
"3110-Sher Admin Sheriff,Sheriff Administration",2022-00000159,Weissco Power,,Weissco Power - Corrections - 10 New UPS Units for Jail Security,02/01/2022,04/30/2022,$36323.7600
"4010-Health Ed Health,Health Education",2022-00000116,Siena College,,Siena College - CHA Survey,02/01/2022,06/30/2022,$20250.0000
6290-Office of Employment & Training,2022-00000170,Rowan Woodwork LLC,,Rowan Woodwork - On-the-Job Training - Cabinetmaker Apprentice,02/21/2022,08/19/2022,$6675.0000
"6010-DSS Services DSS,DSS Services",2022-00000163,Home Plate Deli & Caterers,,Home Plate Deli - Meal Service Celebrating Families Program,02/28/2022,05/16/2022,$900.0000
5630-UCAT,2022-00000143,Adirondack Cabling Inc,,ADIRONDACK CABLING - INSTALLATION OF WIFI CABLING,03/01/2022,06/30/2022,$8267.0000
3140-Probation,2022-00000193,NYS Office for the Prevention of Domestic Violence,,REVENUE: NYS OPDV - Pandemic Emergency Assistance Program,03/01/2022,05/31/2022,$187723.1800
5630-UCAT,2022-00000110,Pro-Vision Video Systems,,PRO-VISION VIDEO - INSTALLATION OF BUS SURVEILLANCE CAMERAS ,03/01/2022,06/30/2022,$48200.0000
6410-Tourism,2022-00000112,Republican Company,The,CANCELLED The Republican - Insertion Order 2022 Spring Campaign,03/13/2022,05/16/2022,$13000.0000
"1490-DPW Eng DPW,Engineering",2022-00000178,Atlantic Testing Laboratories Ltd,,Atlantic Testing Labs Ltd - Subsurface Investigation Services ,03/15/2022,10/17/2022,$17548.5100
"6010-DSS Services DSS,DSS Services",2022-00000244,New Paltz Central School District,,New Paltz Schools - Preschool Special Education Transportation,03/21/2022,06/23/2022,$22500.0200
"3110-Sher Admin Sheriff,Sheriff Administration",2022-00000210,Daigle Law Group LLC,,"Daigle Law Group, LLC - UCLEC Criminal Policy Procedure Manual",04/01/2022,09/30/2022,$30000.0000
6290-Office of Employment & Training,2022-00000264,Arace Electronics Corp,,Arace - On The Job Training: - Electrician Helper,04/11/2022,10/07/2022,$7140.0000
1345-Purchasing,B22-012,WB Mason Co Inc,,WB - NYS OGS Copy Paper 2022,04/30/2022,08/31/2022,$0.0000
1450-Elections (Board of),2022-00000251,Highland Central School District,,REVENUE: Highland Central - Polling Site Agreement,05/01/2022,06/30/2022,$1285.6900
1450-Elections (Board of),2022-00000248,Onteora Central School District,,REVENUE: Onteora Central - Polling Site Agreement,05/01/2022,06/30/2022,$1545.0000
1450-Elections (Board of),2022-00000247,Kingston City School District,,REVENUE: Kingston City School - Polling Site Agreement,05/01/2022,06/30/2022,$3605.0000
1450-Elections (Board of),2022-00000249,New Paltz Central School District,,REVENUE: New Paltz Central - Polling Site Agreement,05/01/2022,06/30/2022,$1030.0000
1450-Elections (Board of),2022-00000250,Marlboro Central School District,,REVENUE: Marlboro Central - Polling Site Agreement,05/01/2022,06/30/2022,$1036.4000
1450-Elections (Board of),2022-00000252,Rondout Valley Central School District,,REVENUE: Rondout Valley Central - Polling Site Agreement,05/01/2022,06/30/2022,$1030.0000
1450-Elections (Board of),2022-00000253,Saugerties Central School District,,REVENUE: Saugerties Central - Polling Site Agreement,05/01/2022,06/30/2022,$2530.6300
1680-Information Services,2022-00000257,Naviant Inc,,Naviant - OnBase System Administration Online Training Class,06/01/2022,08/31/2022,$3300.0000
6290-Office of Employment & Training,2022-00000173,Go Beyond Greatness Inc,,Go Beyond Greatness - Pre-employment Services,06/15/2022,07/29/2022,$5775.0000
